id,type,name,rt,duration
1,sphere1,n,0.8274782560765743,1.3860003349836916
1,sphere1,m,2.4480130199808627,0.7603868909645826
1,sphere1,n,3.4561536910478026,0.09207330690696836
1,sphere1,m,3.9350313930772245,0.15638588392175734
1,sphere1,m,4.124058526009321,0.1644917349331081
1,sphere1,n,4.544941311934963,0.37626274302601814
1,sphere1,m,5.072212127968669,0.7201174211222678
1,sphere1,n,5.956901550060138,0.1806861909572035
1,sphere1,m,6.2438991740345955,1.9805286128539592
1,sphere1,n,8.405104095116258,1.9120549198705703
1,sphere1,m,10.503981156041846,2.7842689908575267
1,sphere1,n,13.471991280093789,4.393399367807433
1,sphere1,m,18.05737517401576,2.5639007810968906
1,sphere1,n,20.585387229919434,3.0476208520121872
